source,entity_type,credential_type,credential_number,linked_licensee_number,name,abn_acn,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,dataset_url,dedupe_key
asic_credit_representative,representative,credit_rep,553628,408042,MAXWELL BROKERING SERVICES PTY LTD,44672665306,CRANBOURNE EAST,VIC,3977,2025-07-10,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:44672665306
asic_credit_representative,representative,credit_rep,553657,384704,CYAN MORTGAGE PTY LTD,20671854836,GLEN WAVERLEY,VIC,3150,2023-11-14,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:20671854836
asic_credit_representative,representative,credit_rep,553839,389328,BLACKSMITH MORTGAGE BROKING PTY LTD,72672392451,FITZROY,VIC,3065,2023-11-21,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:72672392451
asic_credit_representative,representative,credit_rep,553840,384324,TEACHERS AND NURSES MORTGAGE AND FINANCE COMPANY PTY LTD,53669965708,KNOXFIELD,VIC,3180,2024-07-26,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:53669965708
asic_credit_representative,representative,credit_rep,553920,389328,ALPHA LENDING SOLUTIONS PTY LTD,672324239,MANOR LAKES,VIC,3024,2024-12-02,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:672324239
asic_credit_representative,representative,credit_rep,554309,389328,DMS BROKERAGE PTY LTD,29647891405,MELBOURNE,VIC,3000,2023-12-11,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:29647891405
asic_credit_representative,representative,credit_rep,554351,384704,VELOCITY MORTGAGE ADVISOR PTY LTD,92671955141,NOBLE PARK,VIC,3174,2023-12-12,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:92671955141
asic_credit_representative,representative,credit_rep,554404,486112,REALISE HOME LOANS PTY LTD,51673406098,CARRUM DOWNS,VIC,3201,2023-12-13,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:51673406098
asic_credit_representative,representative,credit_rep,554484,389087,SMS LENDING PTY LTD,40673031386,DANDENONG,VIC,3175,2025-12-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:40673031386
asic_credit_representative,representative,credit_rep,554490,481374,RPM MORTGAGE PTY LTD,90672077495,TRUGANINA,VIC,3029,2023-12-18,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:90672077495
asic_credit_representative,representative,credit_rep,554573,377294,LNG MORTGAGE SOLUTIONS PTY. LTD.,87672081462,DELAHEY,VIC,3037,2023-12-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:87672081462
asic_credit_representative,representative,credit_rep,554579,511803,THE HORIZON LENDING GROUP PTY LTD,35655875602,ENDEAVOUR HILLS,VIC,3802,2023-12-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:35655875602
asic_credit_representative,representative,credit_rep,554862,384704,LENDING ADVISORY PTY LTD,44671249479,CLARINDA,VIC,3169,2024-01-10,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:44671249479
asic_credit_representative,representative,credit_rep,554878,389087,LENDING NEST PTY LTD,46659406425,MICKLEHAM,VIC,3064,2024-01-11,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:46659406425
asic_credit_representative,representative,credit_rep,554961,390222,THE MORTGAGE AFFAIR PTY LTD,673026170,TRUGANINA,VIC,3029,2025-06-06,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:673026170
asic_credit_representative,representative,credit_rep,555001,382869,MAHIRA MORTGAGE BROKER PTY LTD,94672864407,RICHMOND,VIC,3121,2024-01-05,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:94672864407
asic_credit_representative,representative,credit_rep,555007,384324,NATIONAL MORTGAGE SOLUTIONS PTY LTD,29659548179,CRAIGIEBURN,VIC,3064,2024-01-18,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:29659548179
asic_credit_representative,representative,credit_rep,555029,390222,ADMEERATION LENDING PTY LTD,18655250114,MELBOURNE,VIC,3004,2024-01-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:18655250114
asic_credit_representative,representative,credit_rep,555101,408042,JK LENDING BENTLEIGH PTY LTD,88673005671,BENTLEIGH,VIC,3204,2024-01-24,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:88673005671
asic_credit_representative,representative,credit_rep,555201,509484,SWITCH MORTGAGE BROKERS PTY LTD,62671187563,SOUTHBANK,VIC,3006,2024-01-30,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:62671187563
asic_credit_representative,representative,credit_rep,555341,382869,SUNGROUP MORTGAGES PTY LTD,89673363712,RICHMOND,VIC,3121,2024-02-02,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:89673363712
asic_credit_representative,representative,credit_rep,555363,384324,SGS MORTGAGES PTY LTD,60657413440,MOUNT WAVERLEY,VIC,3149,2024-02-04,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:60657413440
asic_credit_representative,representative,credit_rep,555409,517192,MORTGAGE COMPASS PTY LTD,60670133221,AINTREE,VIC,3336,2024-02-05,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:60670133221
asic_credit_representative,representative,credit_rep,555466,374850,QUILL GROUP LENDING PTY LTD,57673289944,MELBOURNE,VIC,3004,2024-01-25,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:57673289944
asic_credit_representative,representative,credit_rep,555558,511803,SMART LENDING ASSET FINANCE PTY LTD,98674191194,MELTON,VIC,3337,2024-02-09,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:98674191194
asic_credit_representative,representative,credit_rep,555633,389087,THE LOAN BROKERY PTY LTD,56673152148,ROWVILLE,VIC,3178,2024-02-13,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:56673152148
asic_credit_representative,representative,credit_rep,555772,389087,PRESTIGE FINANCE BROKERS PTY LTD,97674103256,BALWYN NORTH,VIC,3104,2024-02-16,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:97674103256
asic_credit_representative,representative,credit_rep,555789,374850,ALTERIS LENDING PTY LTD,98674831915,MELBOURNE,VIC,3004,2024-02-19,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:98674831915
asic_credit_representative,representative,credit_rep,555806,534772,CREDITLINKS LENDING SOLUTIONS PTY LTD,75674000287,CRAIGIEBURN,VIC,3064,2024-02-19,,APPR,-37.8752637,145.1281258,16.03,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:75674000287
asic_credit_representative,representative,credit_rep,555968,382869,SUPREME LENDING PTY LTD,49673748304,RICHMOND,VIC,3121,2024-02-23,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:49673748304
asic_credit_representative,representative,credit_rep,556292,389328,SABOORI HOME LOANS PTY LTD,90674587707,NARRE WARREN SOUTH,VIC,3805,2024-03-06,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:90674587707
asic_credit_representative,representative,credit_rep,556394,391237,DARBY HOME LOANS PTY LTD,62670781316,PAKENHAM,VIC,3810,2024-03-08,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:62670781316
asic_credit_representative,representative,credit_rep,556508,405961,YELLOWSTONE LENDING PTY LTD,81674369398,BALLARAT,VIC,3350,2024-03-13,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:81674369398
asic_credit_representative,representative,credit_rep,556537,391237,JUST RIGHT LENDING PTY LTD,80674926679,DONVALE,VIC,3111,2024-03-13,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:80674926679
asic_credit_representative,representative,credit_rep,556580,389328,MELBOURNE MORTGAGE PARTNERS PTY LTD,59674900531,MOUNT WAVERLEY,VIC,3149,2024-03-14,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:59674900531
asic_credit_representative,representative,credit_rep,556721,500776,UBROKER AGGREGATION PTY LTD,41672692465,MOUNT WAVERLEY,VIC,3149,2024-03-18,,APPR,-37.8752637,145.1281258,16.03,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:41672692465
asic_credit_representative,representative,credit_rep,556766,384704,JADE MORTGAGE SOLUTIONS PTY LTD,92673823811,PASCOE VALE,VIC,3044,2024-03-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:92673823811
asic_credit_representative,representative,credit_rep,556820,389328,BW BROKERAGE PTY LTD,47672327981,MORDIALLOC,VIC,3195,2024-03-20,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:47672327981
asic_credit_representative,representative,credit_rep,556963,384704,WE BROKERS PTY LTD,40675437993,COBURG,VIC,3058,2024-03-25,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:40675437993
asic_credit_representative,representative,credit_rep,556966,391237,E2E BROKER SOLUTIONS PTY LTD,82672275035,GROVEDALE,VIC,3216,2024-03-20,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:82672275035
asic_credit_representative,representative,credit_rep,557009,389328,LEGACY MORTGAGE SOLUTIONS PTY LTD,88675944448,MOONEE PONDS,VIC,3039,2024-03-26,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:88675944448
asic_credit_representative,representative,credit_rep,557015,384704,DAY ONE BROKERS PTY LTD,98675651699,NARRE WARREN,VIC,3805,2024-03-26,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:98675651699
asic_credit_representative,representative,credit_rep,557031,509484,BABIERA FINANCE BROKERS PTY LTD,68673498158,MORWELL,VIC,3840,2024-03-27,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:68673498158
asic_credit_representative,representative,credit_rep,557091,387856,KY LENDING PTY LTD,58667021203,NORTHCOTE,VIC,3070,2024-03-28,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:58667021203
asic_credit_representative,representative,credit_rep,557148,486112,DS HOME LOANS PTY LTD,59675073935,TRUGANINA,VIC,3029,2024-04-02,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:59675073935
asic_credit_representative,representative,credit_rep,557149,410232,MY MORTGAGE CHOICE PTY LTD,19674622532,EPPING,VIC,3076,2024-04-02,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:19674622532
asic_credit_representative,representative,credit_rep,557225,384704,DAYAL MORTGAGE AND FINANCE PTY LTD,96675563336,CRAIGIEBURN,VIC,3064,2024-04-04,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:96675563336
asic_credit_representative,representative,credit_rep,557228,384408,RG LENDING SOLUTIONS PTY LTD,24675474307,LUCAS,VIC,3350,2024-04-04,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:24675474307
asic_credit_representative,representative,credit_rep,557238,246786,TAH BROKER PTY LTD,62658391194,NORTHCOTE,VIC,3070,2024-04-04,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:62658391194
asic_credit_representative,representative,credit_rep,557581,389328,SUPREME MORTGAGE AND FINANCE PTY LTD,41676078201,TARNEIT,VIC,3029,2024-04-15,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:41676078201
asic_credit_representative,representative,credit_rep,558142,384704,NK SPECIALIST LENDING PTY LTD,75676655511,HAMPTON,VIC,3188,2025-02-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:75676655511
asic_credit_representative,representative,credit_rep,558144,246786,VIDLER LENDING PTY LTD,50676768442,SHEPPARTON,VIC,3630,2024-04-29,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:50676768442
asic_credit_representative,representative,credit_rep,558241,384704,KSA MORTGAGE PTY LTD,35663065129,TARNEIT,VIC,3029,2024-05-06,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:35663065129
asic_credit_representative,representative,credit_rep,558402,389087,CENTURY HOME LOANS PTY LTD,19642481785,TARNEIT,VIC,3029,2024-05-10,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:19642481785
asic_credit_representative,representative,credit_rep,559101,384704,MORTGAGE MANTRA PTY LTD,19675639157,GLEN IRIS,VIC,3146,2024-06-03,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:19675639157
asic_credit_representative,representative,credit_rep,559322,384704,THE TRUSTEE FOR THE LENDING CENTRIC UNIT TRUST,86441956931,CHADSTONE,VIC,3148,2024-06-06,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:86441956931
asic_credit_representative,representative,credit_rep,559638,436615,ARDENT LENDING CO. PTY LTD,51677181967,MOONEE PONDS,VIC,3039,2024-06-18,,APPR,-37.8822799,145.1001365,14.25,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:51677181967
asic_credit_representative,representative,credit_rep,559649,389087,KAUSHAL LENDING SERVICES PTY LTD.,62676966573,CRANBOURNE,VIC,3977,2024-06-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:62676966573
asic_credit_representative,representative,credit_rep,559729,384704,MORTGAGE SQUARE PTY LTD,29675376762,CRAIGIEBURN,VIC,3064,2024-06-21,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv,abn:29675376762
